"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
5.0,92704.1,54007.99,77984.164,228230.23,33647.9,97829.875,660.823,868.4298,4062.072,3675.9326,10036.879,5914.119,783.3793,1153.9097,70994.99,112369.49,29161.111,6884.0044,5025.5737,50901.51,10375.165,92635.9,3868.8416,10474.005,23493.826,3362.793,8.211368,1000000.0
5.0833335,124212.734,68154.48,73103.88,233288.89,54418.32,96556.38,475.50317,874.2869,3244.975,3614.684,9922.419,5815.7056,809.44226,1109.7673,60132.89,114779.09,27838.322,6746.839,5932.085,50462.39,7970.279,94274.44,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
5.1666665,99298.95,100379.46,74225.24,233082.56,35144.57,93861.29,419.16333,859.8235,3184.7356,3411.7893,8866.292,6055.771,612.81396,1069.4539,50285.24,115080.32,26412.809,6890.9536,5933.3843,50225.69,7211.473,95684.04,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
5.25,70137.1,121447.91,80411.875,232948.03,26848.07,83602.055,481.74875,827.6001,3719.2715,3262.0127,7898.3203,5916.64,466.6874,1025.4124,47618.402,115404.98,25388.648,6654.761,5831.7725,49123.547,8324.983,95643.55,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
5.3333335,45008.453,108598.76,81649.34,227887.69,54449.023,77123.05,709.461,802.6212,3445.1536,3171.3816,8010.9497,5835.4688,332.7462,982.46027,49949.215,118501.87,30474.438,6704.546,5798.2656,48468.19,13730.374,96324.97,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
5.4166665,41696.797,72941.414,87148.23,226910.16,44799.53,83300.51,618.6059,797.21497,3128.667,3061.9746,8265.099,5684.5195,572.74384,903.1316,55121.824,118966.42,31219.182,6905.3335,6510.6885,47300.85,15606.495,96362.71,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
5.5,88072.055,70791.33,91030.45,230784.45,39698.43,79256.984,510.47247,804.82306,3036.4326,2970.5486,10044.36,5649.3174,599.3051,874.43414,48783.89,115837.555,29594.814,7055.4443,7255.374,47079.16,14008.1045,97174.51,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
5.5833335,132217.0,84150.375,90547.31,236651.67,46240.07,82627.13,432.88715,819.80383,2685.0605,2791.3208,10929.558,5583.641,506.8469,891.1485,47369.145,113733.8,28191.254,6949.137,6532.362,47759.09,10310.64,99395.78,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
5.6666665,112540.07,107699.02,91077.266,240715.5,25627.38,85102.31,480.02594,819.3363,2985.4048,2647.3103,9774.899,5825.0703,411.0627,881.83826,46719.555,112260.03,26740.121,7024.081,4892.6357,49046.977,7739.7314,100819.02,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
5.75,92940.09,108440.11,86551.086,244898.89,19200.086,81973.74,756.6605,791.4103,4065.6055,2533.188,9214.539,5809.5107,330.13702,886.92706,47074.945,109448.1,25302.281,7146.245,4034.935,50279.89,7703.057,101672.71,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
5.8333335,79175.6,88754.29,71157.6,260887.22,50144.63,82032.234,1000.81805,770.586,4208.3477,2446.6047,8454.221,5700.1323,254.71123,887.9342,68492.59,109303.695,30257.643,7300.98,5335.276,50101.105,11960.137,102685.72,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
5.9166665,77990.336,57849.227,71273.82,275792.66,46184.89,86842.92,747.90735,773.6318,3553.1787,2317.322,8015.4863,5862.4272,568.8165,875.8248,74433.266,107317.42,30624.021,7856.0093,4861.5474,49808.793,15639.854,103005.8,5674.9395,11356.918,25146.398,3644.8872,7.6112924,1000000.0
6.0,124660.055,54077.99,80976.62,260893.16,43106.207,84759.73,455.84506,813.0755,2651.602,2176.843,10153.335,5918.168,1046.3136,887.7668,62835.31,108663.88,28963.008,7898.0137,5777.013,50662.402,12071.971,102989.23,3868.8416,10474.005,23493.826,3362.793,8.211368,1000000.0
6.0833335,140955.36,74925.664,81331.09,264616.88,46993.31,89736.125,346.99005,811.7355,1823.5524,2017.0353,10988.077,5711.997,972.2243,860.7756,55485.863,107787.57,27216.887,7958.287,5868.5103,50539.332,8832.049,104526.91,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
6.1666665,118627.54,103783.69,74300.79,270036.7,21079.447,101890.37,341.43173,792.29913,1682.87,1893.9001,9583.587,5589.636,725.87445,835.0719,46240.902,107512.2,25661.363,8000.466,5955.8906,50883.39,6328.0083,106237.17,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
6.25,99452.06,109628.85,68663.47,266921.22,12237.209,92600.26,404.53546,771.5541,1763.9807,1791.3086,8614.98,5589.4478,523.1058,813.0918,41943.152,108198.695,24187.5,8122.073,6067.5967,50250.68,7712.4688,106428.63,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
6.3333335,82935.53,86071.09,64411.234,242563.77,40321.492,88261.516,532.86414,831.1504,1558.712,1716.5394,7802.1514,5474.418,485.79626,743.2736,46995.27,107709.63,29403.586,7977.041,7879.7573,48739.797,13425.731,106246.17,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
6.4166665,82471.91,39137.242,65665.94,233037.27,32934.676,87481.06,497.7032,856.65454,1423.0582,1702.3839,7865.674,5681.7773,709.56964,681.8497,49431.79,110203.73,30190.48,7893.6045,9849.361,47208.758,15269.507,107181.21,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
6.5,115242.71,48152.246,71104.85,214868.11,33696.234,85599.164,450.49237,857.7468,1308.0269,1661.1786,9716.515,5894.82,1040.7606,675.15515,46564.832,108850.266,28448.6,7970.0317,10743.204,46980.844,11875.162,108030.14,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
