"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0"
0.25,"OctopusVulgaris >=90.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"MelicertusKerathurus < 8.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"MelicertusKerathurus >=8.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"MetapenaeusMonoceros < 8.0",NaN,NaN,NaN,NaN,NaN,NaN,3.575543,NaN,0.8137898,NaN,NaN,NaN,11.595592,NaN,0.7391585,NaN,NaN,NaN,0.0,NaN,4.7923236,NaN
0.25,"MetapenaeusMonoceros >=8.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"TrachurusTrachurus < 11.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,3.267465,NaN,NaN,NaN,0.0,NaN,0.39700314,NaN,NaN,NaN,1.0511231,NaN,0.0,NaN
0.25,"TrachurusTrachurus >=11.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"SardinaPilchardus < 9.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"SardinaPilchardus >=9.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"SardinellaAurita < 11.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"SardinellaAurita >=11.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"EngraulisEncrasicolus < 9.0",NaN,NaN,NaN,NaN,NaN,NaN,1.1038009,NaN,0.55548644,NaN,NaN,NaN,0.0,NaN,0.016405258,NaN,NaN,NaN,0.114596024,NaN,0.0,NaN
0.25,"EngraulisEncrasicolus >=9.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"DiplodusAnnularis < 9.0",NaN,NaN,NaN,NaN,NaN,NaN,1.6681007,NaN,0.5847219,NaN,NaN,NaN,0.0,NaN,4.6602124E-4,NaN,NaN,NaN,0.3640152,NaN,0.0,NaN
0.25,"DiplodusAnnularis >=9.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"MustelusMustelus < 50.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"MustelusMustelus >=50.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"MerlucciusMerluccius < 11.0",NaN,NaN,NaN,NaN,NaN,NaN,0.11583729,NaN,0.232094,NaN,NaN,NaN,0.0,NaN,0.2882122,NaN,NaN,NaN,1.7017608,NaN,0.0,NaN
0.25,"MerlucciusMerluccius >=11.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,"PagellusErythrinus < 9.0",NaN,NaN,NaN,NaN,NaN,NaN,1.6004406,NaN,0.034816623,NaN,NaN,NaN,0.1981359,NaN,0.0,NaN,NaN,NaN,0.7865758,NaN,0.12598594,NaN
0.25,"PagellusErythrinus >=9.0",NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,CILC,NaN,NaN,NaN,NaN,NaN,NaN,24.773054,NaN,16.186874,NaN,NaN,NaN,52.536407,NaN,16.346962,NaN,NaN,NaN,0.0,NaN,1.4823503,NaN
0.25,COPC,NaN,NaN,NaN,NaN,NaN,NaN,67.16102,NaN,77.423935,NaN,NaN,NaN,35.655594,NaN,73.65101,NaN,NaN,NaN,70.04368,NaN,93.59934,NaN
0.25,HNFC,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.89776415,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,PHYSN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,PHYLN,NaN,NaN,NaN,NaN,NaN,NaN,0.002208139,NaN,0.0030499585,NaN,NaN,NaN,0.014269272,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN
0.25,Benthos,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,8.560783,NaN,NaN,NaN,25.935112,NaN,0.0,NaN
0.33333334,"OctopusVulgaris < 90.0",1.4223692E-5,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,2.6637214E-5,NaN,0.0,NaN,0.002182438,NaN,1.879537E-5,NaN
0.33333334,"OctopusVulgaris >=90.0",0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,NaN,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN
